Nullspace Adaptive Model-Based Trajectory-Tracking Control for a 6-DOF Underwater Vehicle with Unknown Plant and Actuator Parameters: Theory and Preliminary Simulation Evaluation,"Annie Mao, Joseph Moore, Louis Whitcomb","Johns Hopkins University,Johns Hopkins University Applied Physics Lab,The Johns Hopkins University",Robust/Adaptive Control,"We report a novel model-based nullspace adaptive trajectory-tracking control (NS-ATTC) algorithm for fully-actuated 6-degree-of-freedom (DOF) underwater vehicles which estimates unknown plant and actuator model parameters simultaneously. We provide a stability and convergence analysis with proof of asymptotically stable tracking error convergence, as well as a preliminary simulation study demonstrating 6-DOF trajectory tracking. The NS-ATTC algorithm does not require acceleration instrumentation and provides a stable online parameter estimate, enabling robust model-based autonomy."
Adaptive Planning and Control with Time-Varying Tire Models for Autonomous Racing Using Extreme Learning Machine,"Dvij Kalaria, Qin Lin, John Dolan","Carnegie Mellon University,Cleveland State University",Robust/Adaptive Control,"Autonomous racing is a challenging problem, as the vehicle needs to operate at the friction or handling limits in order to achieve minimum lap times. Autonomous race cars require highly accurate perception, state estimation, planning, and control. Adding to this complexity is the need to accurately identify vehicle model parameters governing lateral tire slip effects, which can evolve over time due to factors such as tire wear and tear. Current approaches to this problem typically either propose offline model identification methods or rely on initial parameters within a narrow range (typically within 15-20% of the actual values). However, these approaches fall short in accounting for significant changes in tire models that can occur during actual races, particularly when pushing the vehicle to its handling limits. we present a unified framework that not only learns the tire model in real time from collected data but also adapts the model to environmental changes, even when the model parameters exhibit substantial deviations. We validate our approach through testing in simulators, encompassing a 1:43 scale race car and a full-size car, and also through experiments with a physical F1/10 autonomous race car."
Risk-Sensitive Extended Kalman Filter,"Armand Jordana, Avadesh Meduri, Etienne Arlaud, Justin Carpentier, Ludovic Righetti","New York University,INRIA",Robust/Adaptive Control,"Designing robust algorithms in the face of estimation uncertainty is a challenging task. Indeed, controllers seldom consider estimation uncertainty and only rely on the most likely estimated state. Consequently, sudden changes in the environment or the robot's dynamics can lead to catastrophic behaviors. Leveraging recent results in risk-sensitive optimal control, this paper presents a risk-sensitive Extended Kalman Filter that can adapt its estimation to the control objective, hence allowing safe output-feedback Model Predictive Control (MPC). By taking a pessimistic estimate of the value function resulting from the MPC controller, the filter provides increased robustness to the controller in phases of uncertainty as compared to a standard Extended Kalman Filter (EKF). The filter has the same computational complexity as an EKF and can be used for real-time control. The paper evaluates the risk-sensitive behavior of the proposed filter when used in a nonlinear MPC loop on a planar drone and industrial manipulator in simulation, as well as on an external force estimation task on a real quadruped robot. These experiments demonstrate the ability of the approach to significantly improve performance in face of uncertainties."
Global Terminal Sliding Mode Control of Tethered Satellites Formation with Chattering Reduction Via PID Laws,"Bowen Su, Fan Zhang, Panfeng Huang","Northwestern Polytechnical University,Northwestern Polytechnical Univeristy",Robust/Adaptive Control,"This paper researches a novel global terminal sliding mode control(GTSMC) on a tethered satellites system(TSS) under outer disturbances, and the effect of PI/PD compensation in restraining chattering on sliding surface is appended. By taking advantage of the finite-time convergence of traditional terminal sliding surface, the sliding surface with global and terminal sliding motion is proposed, and the convergent time by GTSMC is qualitatively evaluated by the sliding surface. Then the integral/derivative function of the low-pass filtered switching control is appended in GTSMC, by virtue of the accuracy of integral and the damping of derivative, respectively, the persisting on sliding surface is eliminated, such that the chattering effect of the controlled system on the surface is restrained consequently. Finally, simulations of the proposed control on TSS is shown to validate the theoretical analyses."
Robust Feedback Quadratic Programming for Kinematic-Controlled Robots,"Mohamed Djeha, Pierre Gergondet, Abderrahmane Kheddar","Université de Montpellier,CNRS,CNRS-AIST",Robust/Adaptive Control,"Task-space quadratic programming (QP) is an elegant approach for controlling robots subject to constraints. Yet, in the case of kinematic-controlled (i.e., high-gains position or velocity) robots, closed-loop QP control scheme can be prone to instability depending on how the gains related to the tasks or to the constraints are chosen. In this paper, we address such instability shortcomings. First, we highlight the non-robustness of the closed-loop system against non-modeled dynamics, such as those relative to joint-dynamics, flexibilities, external perturbations, etc. Then, we propose a robust QP control formulation based on high-level integral feedback terms in the task-space including the constraints. The proposed method is formally proved to ensure closed-loop robust stability, and is intended to be applied to any kinematic-controlled robots under practical assumptions. We assess our approach through experiments on a fixed-base robot performing stable fast motions, and a floating-base humanoid robot robustly reacting to perturbations to keep its balance."
Model Predictive Control for an Autonomous Underwater Robot with Fully Vectored Propulsion,"Tianzhu Gao, Yudong Luo, Chao Lv, Weirong Luo, Xianping Fu, Na Zhao, Xi Luo, Yudong Luo","Dalian Maritime University,Yichang Testing Tech. Research Institution,University of Nevada, Reno",Dynamics,"Due to the low motion efficiency and maneuverability of underwater robots with six degrees of freedom, it is challenging for them to quickly respond to the attitude requirements during underwater autonomous maneuvering. This paper presents a novel autonomous underwater robot with fully vectored propulsion, combined with a model predictive control method, to autonomously achieve more agile and efficient movements. In detail, we first design an eight vector-distributed thruster layout for fully vectored propulsion of the robot and construct software architecture based on the robot operating system (ROS). Then, we establish the hydrodynamic model for the robot by adopting the Fossen approach, thus constructing a 13-dimensional system state-space equation, which is discretized by using the explicit fourth-order Runge-Kutta method. To achieve the autonomous maneuver, model predictive control is employed along with physical constraints of the custom-built robot to enable real-time prediction and optimization of the robot's state for control purposes. Finally, numerical simulations and experiments of the Point-to-Point Motion are conducted to test the robot's performance. Experimental results reveal that the average error of each direction is 0.0027 m, 0.0031 m, and 0.0368 m in the x-axis, y-axis, and z-axis, respectively, and 0.8502 degrees, 2.1941 degrees, 0.2408 degrees corresponding to three attitude angles, which verify the performance of employing MPC to control an autonomous underwater robot with fully vectored propulsion."
Attitude Control for Morphing Quadrotor through Model Predictive Control with Constraints,"Na Zhao, Yudong Luo, Chaojun Qin, Xi Luo, Rong Chen, Yudong Luo","Dalian Maritime University,Yichang Testing Tech. Research Institution,University of Nevada, Reno",Dynamics,"Morphing quadrotors that can be potentially applied to confined spaces such as warehouses, tanks, and pipelines have flourished in recent years. Most work has focused on the mechanical feasibility of the morphing systems and high-level flight controller design, with limited discussions on low-level control. In this paper, a constrained model predictive control (MPC) is proposed and applied to solve the attitude control problem of a morphing quadrotor. Prior to controller design, a custom-built morphing quadrotor is introduced with the kinematic and dynamic models established and corresponding issues and challenges presented. In the controller, to eliminate the steady-state error, an embedded integrator is adopted by exploiting the differential variables; then, the constraints of the morphing quadrotor are incorporated into the MPC formulation to simulate actual flight conditions, and an orthonormal function is employed to approximate the control input sequences in the controller to alleviate the computational burden. In the comparative studies, several scenarios are considered to demonstrate the effectiveness of the proposed control strategy in attitude control."
NNgTL: Neural Network Guided Optimal Temporal Logic Task Planning for Mobile Robots,"Ruijia Liu, Shaoyuan Li, Xiang Yin","Shanghai Jiao Tong University,Shanghai Jiao Tong Univ",Dynamics,"In this work, we investigate task planning for mobile robots under linear temporal logic (LTL) specifications. This problem is particularly challenging when robots navigate in continuous workspaces due to the high computational com- plexity involved. Sampling-based methods have emerged as a promising avenue for addressing this challenge by incrementally constructing random trees, thereby sidestepping the need to ex- plicitly explore the entire state-space. However, the performance of this sampling-based approach hinges crucially on the chosen sampling strategy, and a well-informed heuristic can notably enhance sample efficiency. In this work, we propose a novel neural-network guided (NN-guided) sampling strategy tailored for LTL planning. Specifically, we employ a multi-modal neural network capable of extracting features concurrently from both the workspace and the BÌˆuchi automaton. This neural network generates predictions that serve as guidance for random tree construction, directing the sampling process toward more optimal directions. Through numerical experiments, we com- pare our approach with existing methods and demonstrate its superior efficiency, requiring less than 15% of the time of the existing methods to find a feasible solution."
Synthesis of Temporally-Robust Policies for Signal Temporal Logic Tasks Using Reinforcement Learning,"Siqi Wang, Shaoyuan Li, Li Yin, Xiang Yin","Shanghai Jiao Tong University,Macau University of Science and Technology,Shanghai Jiao Tong Univ",Dynamics,"This paper investigates the problem of designing control policies that satisfy high-level specifications described by signal temporal logic (STL) in unknown, stochastic environments. While many existing works concentrate on optimizing the spatial robustness of a system, our work takes a step further by also considering temporal robustness as a critical metric to quantify the tolerance of time uncertainty in STL. To this end, we formulate two relevant control objectives to enhance the temporal robustness of the synthesized policies. The first objective is to maximize the probability of being temporally robust for a given threshold. The second objective is to maximize the worst-case spatial robustness value within a bounded time shift. We use reinforcement learning to solve both control synthesis problems for unknown systems. Specifically, we approximate both control objectives in a way that enables us to apply the standard Q-learning algorithm. Theoretical bounds in terms of the approximations are also derived. We present case studies to demonstrate the feasibility of our approach."
A Deep Learning Framework for Non-Symmetrical Coulomb Friction Identification of Robotic Manipulators,"Marcel Gabriel Lahoud, Gabriele Marchello, Mariapaola D'Imperio, Andreas Mueller, Ferdinando Cannella","Italian Institute of Technology,Istituto Italiano di Tecnologia,Johannes Kepler University",Dynamics,"The determination of the dynamic properties of a robot is especially important for designing highly accurate and efficient control systems. Conventional methods for dynamic model identification have proven to be effective, where deep learning (DL) approaches have shown limits due to data inefficiencies. However, thanks to novel physics-informed DL architectures, such as Deep Lagrangian Networks (DeLaN) [1], it is possible to control and extract interpretable physical information of a robot. This paper introduces an augmented DeLaN architecture for linear viscous and non-symmetrical Coulomb friction identification, which also learns motor parameters such as rotor inertia. An approach is proposed for comparing this method with the conventional dynamic identification and previous DeLaN implementations. Moreover, our friction and rotor inertia identification is validated, and the performance of our model is analyzed with a real robot (UR5e)."
Implicit Time Integration Simulation of Robots with Rigid Bodies and Cosserat Rods Based on a Newton-Euler Recursive Algorithm,"Frédéric Boyer, Andrea Gotelli, Philipp Tempel, Vincent Lebastard, Federico Renda, Sébastien Briot","IMT atlantique,École Centrale Nantes,Ecole Centrale de Nantes,Khalifa University of Science and Technology,LS,N",Dynamics,"In this paper, we propose a new algorithm for solving the forward dynamics of multibody systems consisting of rigid bodies connected in arbitrary topologies by localised joints and/or soft links, possibly actuated or not. The simulation is based on the implicit time-integration of the Lagrangian model of these systems, where the soft links are modelled by Cosserat rods parameterised by assumed strain modes. This choice imposes a predictor-corrector structure on the approach, and requires computing both the residual vector and the Jacobian of the residual vector of the dynamics constrained by the time integrator. These additional calculations are handled here with a new Newton-Euler recursive inverse dynamics algorithm and its linearized tangent version. The approach is illustrated with numerical examples from the Cosserat rod literature and from recent robotic applications."
Efficient Constrained Dynamics Algorithms Based on an Equivalent LQR Formulation Using Gauss' Principle of Least Constraint,"Ajay Suresha Sathya, Herman Bruyninckx, Wilm Decré, Goele Pipeleers","Inria,KU Leuven,Katholieke Universiteit Leuven",Dynamics,"We derive a family of efficient constrained dynamics algorithms by formulating an equivalent linear quadratic regulator (LQR) problem using Gauss' principle of least constraint and solving it using dynamic programming. Our approach builds upon the pioneering (but largely unknown) O(n+m^2d+m^3) solver by Popov and Vereshchagin (PV), where n,m and d are the number of joints, number of constraints and the kinematic tree depth respectively. We provide an expository derivation for the original PV solver and extend it to floating-base kinematic trees with constraints allowed on any link. We make new connections between the LQR's dual Hessian and the inverse operational space inertia matrix (OSIM), permitting efficient OSIM computation, which we further accelerate using matrix inversion lemma. We generalize the elimination ordering and support MuJoCo-type soft constraint models to obtain O(n+m) complexity solvers. Our numerical results indicate that significant simulation speed-up can be achieved for high dimensional robots like quadrupeds and humanoids using our algorithms as they scale better than the widely used O(nd^2+m^2d+d^2m+m^3) LTL algorithm of Featherstone."
Model-Based Co-Simulation of Flexible Mechanical Systems with Contacts Using Reduced Interface Models,"Xu Dai, Ali Raoofian, Jozsef Kovecses, Marek Teichmann","McGill University,CMLabs Simulations Inc",Dynamics,"Co-simulation is a useful approach in the modelling of robotic systems composed of multiple parts. In co-simulation, the subsystems only exchange information at communication points. The time delay of information exchange may cause error and instability. Thus, an appropriate way to determine the interface variables between the communication points is essential for efficient and stable performance, especially for real-time applications. Reduced interface models (RIMs) can be used to represent the dynamic behaviour of the subsystems at the interface in co-simulation. Such a model-based co-simulation scheme was limited to systems consisting of rigid bodies in previous studies. In this work, we introduce the formulation of RIMs for flexible multibody systems and based on that propose a general co-simulation scheme for systems consisting of both rigid body components and elements with structural flexibility. A robotic model is employed as an example to demonstrate the co-simulation scheme, where a non-smooth subsystem with contact interactions is present. The advantages of constructing RIM using flexible mechanical system models over rigid body models are also addressed by comparing the effective mass properties and the simulation results."
RIDER: Reinforcement-Based Inferred Dynamics Via Emulating Rehearsals for Robot Navigation in Unstructured Environments,"Sriram Siva, Maggie Wigness","Army Research Laboratory,U.S. Army Research Laboratory",Dynamics,"Autonomous navigation in unstructured environments is a challenging task due to the complex and dynamic nature of robot terrain interactions. Existing approaches often struggle to generalize amidst the complexities of real-world settings. They tend to rely on hand-engineered, rule-based robot models or static weightings assigned to obstacles, semantics, and other perceptual cues to estimate traversability. To address these challenges, we propose a novel approach called Reinforcement-Based Inferred Dynamics via Emulating Rehearsals (RIDER), that learns the dynamics of robot-terrain interactions within a compact latent space, capturing robot's traversability. Operating within a reinforcement learning paradigm, RIDER learns to infer its own dynamics by predicting how future robot observations and states evolve within this latent space in response to navigational behaviors. Furthermore, our approach leverages emulated rehearsals, where the robot learns within the latent space to predict its rewards and generate navigational behaviors, even when real observations have not been updated. Accordingly, RIDER equips robots with the ability to generate navigational behaviors by predicting environmental changes, and plan beyond the speed at which observations from sensors are available. Experimental results and comparisons with baseline methods establish that our proposed method outperforms other approaches in cluttered and unstructured environments and demonstrates an enhanced capacity for autonomous navigation in real-world settings."
Dynamic Multi-Agent Deep Deterministic Policy Gradient for Autonomous Navigation of Reconfigurable Unmanned Aerial Vehicle,"Xin Lu, Zegui Wu, Ruqing Zhao, Fusheng Li","University of Electronic Science and technology,University of Electronic Science and Technology of China",Distributed Robot Systems,"The reconfigurable unmanned aerial vehicle (RUAV) has the ability to create and break physical links to self-assemble and self-disassemble in midair. For the changes in task or environment, this system can dynamically disassemble the rectangular structure into multiple individual UAV modules or integrate these UAV modules into a whole. For practical applications, the R-UAV requires collaborative decision-making for autonomous navigation in complex environments. However, the navigation problem of the R-UAV has not been investigated. In this paper, we propose a dynamic multi-agent deep deterministic policy gradient (DMADDPG) algorithm for autonomous navigation of R-UAV. This algorithm introduces the leader agent assignment mechanism and a collaborative experience reward. The former deals with the action conflict problem caused by the disappearance of the UAV agent when multiple UAV modules are assembled. The latter provides guidance for the UAV agent to plan a collision-free and efficient trajectory. We validate our strategy in both simulation and practical scenarios, and experimental results demonstrate that the proposed scheme can generate reasonable and efficient paths for R-UAV in the presence of obstacles. The experiment video is available at https://youtu.be/mVm0qCvB7HY."
FogROS2-LS: A Location-Independent Fog Robotics Framework for Latency Sensitive ROS2 Applications,"Kaiyuan Eric Chen, Michael Wang, Marcus Gualtieri, Nan Tian, Christian Juette, Liu Ren, John Kubiatowicz, Ken Goldberg","University of California, Berkeley,Bosch,Bosch Research,Robert Bosch North America Research Technology Center,UC Berkeley",Distributed Robot Systems,"Limiting latency is essential for critical robot applications such as collision avoidance or target tracking and is challenging for Cloud or Fog robotics applications due to network congestion and failures. We introduce FogROS2-Latency-Sensitive(LS), a Fog Robotics framework that offers secure, location-independent connections between robots and latency-sensitive robotic services. FogROS2-LS offloads conventional on-board state estimators and feedback controllers to Cloud and Edge compute hardware without modifying the existing application in ROS2. In presence of multiple identical services, it dynamically identifies and transitions to the optimal service deployment that fulfills the application's latency requirement, thereby empowering robots with restricted on-board computing capacity to safely and efficiently navigate dynamic, human-dense environments. We evaluate FogROS2-LS with two latency sensitive case studies: (1) Collision Avoidance: a robot arm guided by visual feedback from consistent distance estimation and collision checking on Cloud and Edge. FogROS2-LS reduces collision failures by up to 8.5 times by selecting the best available machine (2) Target Tracking: FogROS2-LS also enables robust and continuous target following and can recover from network failures."
Leveraging Tethers for Distributed Formation Control of Simple Robots,"Sadie Cutler, Kirstin Hagelskjaer Petersen",Cornell University,Distributed Robot Systems,"Tethers have great potential in multi-robot systems from enabling retrieval of deployed robots and facilitating power transfer, to use by the robots as a net or partition. In this paper, we show in simulation that tethers can also be used to do distributed formation control on very simple robots. Specifically, our simulated agents are connected in series by un-actuated, flexible, fixed-length tethers and use tether angle and strain, in conjunction with the physical constraints of the tethers, to adjust their position with respect to their neighbors. This presents a significant simplification over traditional formation control which, at a minimum, requires exteroceptive sensors to perceive bearing and/or distance to nearby agents. We present and evaluate an algorithm on a large set of transitions between formations with 5 agents and an example transition with 35 agents. The convergence time grows with the number of agents, however, the memory and computation time per agent remain constant. Future work will investigate the ability to use tethers and strain for reactive behaviors and more diverse tasks."
Distributed Differential Dynamic Programming Architectures for Large-Scale Multi-Agent Control,"Augustinos Saravanos, Yuichiro Aoyama, Hongchang Zhu, Evangelos Theodorou",Georgia Institute of Technology,Distributed Robot Systems,"This paper proposes two decentralized multi-agent optimal control methods that combine the computational efficiency and scalability of Differential Dynamic Programming (DDP) and the distributed nature of the Alternating Direction Method of Multipliers (ADMM). The first one, Nested Distributed DDP (ND-DDP), is a three-level architecture which employs ADMM for consensus, an augmented Lagrangian layer for local constraints and DDP as the local optimizer. The second one, Merged Distributed DDP (MD-DDP), is a two-level architecture that addresses both consensus and local constraints with ADMM, further reducing computational complexity. Both frameworks are fully decentralized since all computations are parallelizable among the agents and only local communication is necessary. Simulation results that scale up to thousands of cars and hundreds of drones demonstrate the effectiveness of the algorithms. Superior scalability to large-scale systems against other DDP and sequential quadratic programming methods is also illustrated. Finally, hardware experiments on a multi-robot platform verify the applicability of the methods. A video with all results is provided in the supplementary material."
Accelerated K-Serial Stable Coalition for Dynamic Capture and Resource Defense,"Junfeng Chen, Zili Tang, Meng Guo",Peking University,Distributed Robot Systems,"Coalition is an important mean of multi-robot systems to collaborate on common tasks. An adaptive coalition strategy is essential for the online performance in dynamic and unknown environments. In this work, the problem of territory defense by large-scale heterogeneous robotic teams is considered. The tasks include exploration, capture of dynamic targets, and perimeter defense over valuable resources. Since each robot can choose among many tasks, it remains a challenging problem to coordinate jointly these robots such that the overall utility is maximized. This work proposes a generic coalition strategy called K-serial stable coalition algorithm. Different from centralized approaches, it is distributed and complete, meaning that only local communication is required and a K-serial Stable solution is ensured. Furthermore, to accelerate adaptation to dynamic targets and resource distribution that are only perceived online, a heterogeneous graph attention network based heuristic is learned to select more appropriate parameters and promising initial solutions during local optimization. Compared with manual heuristics or end-to-end predictors, it is shown to both improve online adaptability and retain the quality guarantee. The proposed methods are validated via large-scale simulations with 170 robots and hardware experiments of 13 robots, against several strong baselines such as GreedyNE and FastMaxSum."
Sensor-Based Multi-Robot Coverage Control with Spatial Separation in Unstructured Environments,"Xinyi Wang, Jiwen Xu, Chuanxiang Gao, Yizhou Chen, Jihan Zhang, Chenggang Wang, Yulong Ding, Ben M. Chen","The Chinese University of Hong Kong,Chinese University of Hong Kong,Shanghai Jiao Tong University,Tongji University",Distributed Robot Systems,"Multi-robot systems have increasingly become instrumental in tackling coverage problems. However, the challenge of optimizing task efficiency without compromising task success still persists, particularly in expansive, unstructured scenarios with dense obstacles. This paper presents an innovative, decentralized Voronoi-based coverage control approach to reactively navigate these complexities while guaranteeing safety. This approach leverages the active sensing capabilities of multi-robot systems to supplement GIS (Geographic Information System), offering a more comprehensive and real-time understanding of environments like post-disaster. Based on point cloud data, which is inherently non-convex and unstructured, this method efficiently generates collision-free Voronoi regions using only local sensing information through spatial decomposition and spherical mirroring techniques. Then, deadlock-aware guided map integrated with a gradient-optimized, centroid Voronoi-based coverage control policy, is constructed to improve efficiency by avoiding exhaustive searches and local sensing pitfalls. The effectiveness of our algorithm has been validated through extensive numerical simulations in high-fidelity environments, demonstrating significant improvements in task success rate, coverage ratio, and task execution time compared with others."
Localized and Incremental Probabilistic Inference for Large-Scale Networked Dynamical Systems,"Kai Matsuka, Soon-Jo Chung","California Institute of Technology,Caltech",Distributed Robot Systems,"We present new algorithms for Distributed Factor Graph Optimization (DFGO) problems that arise in the probabilistic inference of large-scale networked robotic systems. First, for the batch DFGO problem, we derive the Local Consensus ADMM (LC-ADMM) algorithm. LC-ADMM is fully localized; therefore, the computational effort, communication bandwidth, and memory for each agent scale like o(1) with respect to the network size. We establish two new theoretical results for LC-ADMM: (1) exponential convergence when the objective is strongly convex and has a Lipschitz continuous subdifferential, and (2) o(1/k) convergence when the objective is convex and has a unique solution. Second, we also develop the Incremental DFGO algorithm (iDFGO) for real-time problems by combining the ideas from LC-ADMM and the Bayes tree. The iDFGO algorithm incrementally recomputes estimates when new factors are added to the graph and is scalable with respect to both network size and time. We validate LC-ADMM and iDFGO in simulations with examples from multi-agent Simultaneous Localization and Mapping (SLAM) and power grids."
Comparison of Distributed Task Allocation Algorithms Considering Non-Ideal Communication Factors for Multi-UAV Collaborative Visit Missions,"Yan Cao, Teng Long, Jingliang Sun, Zhu Wang, Guangtong Xu","Beijing Institute of Technology,North China Electric Power University,Zhejiang University",Distributed Robot Systems,"This letter comprehensively investigates the performance of six state-of-art distributed task allocation algorithms (i.e., CBAA, CBBA, HIPC, PI, DHBA, and DGA) subject to non-ideal communication factors. The package loss, bit error, and time delay factors are considered in the distributed task allocation process. The performance of the algorithms for multi-UAV collaborative visit missions is compared under pre-allocation and dynamic allocation scenarios. The synchronous and asynchronous communication manners are separately utilized in different allocation scenarios for analyzing the effects of non-ideal communication factors. Comparison results show that bit error factors cause conflicted allocations. For the pre-allocation scenario, CBBA outperforms the competitors in terms of reliability, communication overhead, and efficiency. For the dynamic scenario, CBBA performs best optimality, while DHBA exhibits better reliability and lower overhead in harsh communication conditions."
JSTR: Joint Spatio-Temporal Reasoning for Event-Based Moving Object Detection,"Hanyu Zhou, Zhiwei Shi, Hao Dong, Shihan Peng, Yi Chang, Luxin Yan",Huazhong University of Science and Technology,Sensor Fusion II,"Event-based moving object detection is a challenging task, where static background and moving object are mixed together. Typically, existing methods mainly align the background events to the same spatial coordinate system via motion compensation to distinguish the moving object. However, they neglect the potential spatial tailing effect of moving object events caused by excessive motion, which may affect the structure integrity of the extracted moving object. We discover that the moving object has a complete columnar structure in the point cloud composed of motion-compensated events along the timestamp. Motivated by this, we propose a novel joint spatio-temporal reasoning method for event-based moving object detection. Specifically, we first compensate the motion of background events using inertial measurement unit. In spatial reasoning stage, we project the compensated events into the same image coordinate, discretize the timestamp of events to obtain a time image that can reflect the motion confidence, and further segment the moving object through adaptive threshold on the time image. In temporal reasoning stage, we construct the events into a point cloud along timestamp, and use RANSAC algorithm to extract the columnar shape in the cloud for peeling off the background. Finally, we fuse the results from the two reasoning stages to extract the final moving object region. This joint spatio-temporal reasoning framework can effectively detect the moving object from motion confidence and geometric structure. Moreover, we conduct extensive experiments on various datasets to verify that the proposed method can improve the moving object detection accuracy by 13%."
AYDIV: Adaptable Yielding 3D Object Detection Via Integrated Contextual Vision Transformer,"Tanmoy Dam, Sanjay Bhargav Dharavath, Sameer Alam, Nimrod Lilith, Supriyo Chakraborty, Mir Feroskhan","Saab NTU Joint Lab, Nanyang Technological University, Singapore,Indian Institute of Technology, Kharagpur, India,Saab-NTU Joint Lab, Nanyang Technological University, Singapore,Nanyang Technological University",Sensor Fusion II,"Combining LiDAR and camera data has shown potential in enhancing short-distance object detection in autonomous driving systems. Yet, the fusion encounters difficulties with extended distance detection due to the contrast between LiDAR's sparse data and the dense resolution of cameras. Besides, discrepancies in the two data representations further complicate fusion methods. We introduce AYDIV, a novel framework integrating a tri-phase alignment process specifically designed to enhance long-distance detection even amidst data discrepancies. AYDIV consists of the Global Contextual Fusion Alignment Transformer (GCFAT), which improves the extraction of camera features and provides a deeper understanding of large-scale patterns; the Sparse Fused Feature Attention (SFFA), which fine-tunes the fusion of LiDAR and camera details; and the Volumetric Grid Attention (VGA) for a comprehensive spatial data fusion. AYDIV's performance on the Waymo Open Dataset (WOD) with an improvement of 1.24% in mAPH value(L2 difficulty) and the Argoverse2 Dataset with a performance improvement of 7.40% in AP value demonstrates its efficacy in comparison to other existing fusion-based methods. Our code is publicly available at https://github.com/sanjay-810/AYDIV2."
RadarCam-Depth: Radar-Camera Fusion for Depth Estimation with Learned Metric Scale,"Han Li, Yukai Ma, Yaqing Gu, Kewei Hu, Yong Liu, Xingxing Zuo","Zhejiang University,zhejiang unicersity,Caltech",Sensor Fusion II,"We present a novel approach for metric dense depth estimation based on the fusion of a single-view image and a sparse, noisy Radar point cloud. The direct fusion of heterogeneous Radar and image data, or their encodings, tends to yield dense depth maps with significant artifacts, blurred boundaries, and suboptimal accuracy. To circumvent this issue, we learn to augment versatile and robust monocular depth prediction with the dense metric scale induced from sparse and noisy Radar data. We propose a Radar-Camera framework for highly accurate and fine-detailed dense depth estimation with four stages, including monocular depth prediction, global scale alignment of monocular depth with sparse Radar points, quasi-dense scale estimation through learning the association between Radar points and image patches, and local scale refinement of dense depth using a scale map learner. Our proposed method significantly outperforms the state-of-the-art Radar-Camera depth estimation methods by reducing the mean absolute error (MAE) of depth estimation by 25.6% and 40.2% on the challenging nuScenes dataset and our self-collected ZJU-4DRadarCam dataset, respectively. Our code and dataset will be released at url{https://github.com/MMOCKING/RadarCam-Depth}."
HabitatDyn 2.0: Dataset for Spatial Anticipation and Dynamic Object Localization,"Zhengcheng Shen, Linh Kästner, Yi Gao, Jens Lambrecht","TU Berlin,T-Mobile, TU Berlin,Technische Universität Berlin",Sensor Fusion II,"The ability of a robot to perceive and understand its environment is crucial for its actions and behavior. Humans are adept at using semantic information for object localization and path planning, a skill that robots need to emulate for intelligent adaptation in dynamic settings. Training of the spatial anticipation ability, which can enhance spatial perception through semantic understanding, necessitates the availability of appropriate data. Although extensive research has been conducted on datasets for outdoor environments, especially in the context of autonomous driving, there is still a notable lack of datasets specifically designed for indoor environments, with a focus on dynamic object localization. This paper introduces HabitatDyn 2.0, a dataset specifically designed for enhancing object localization capabilities with semantic information from a robot's perspective. Besides RGB videos, semantic annotations, and depth information, HabitatDyn 2.0 also features top-down view labels for dynamic objects, which is required for training the spatial anticipation ability based on semantic information. Additionally, an algorithm that leverages spatial anticipation for dynamic object localization is presented, trained, and evaluated on the dataset."
Attentive Multimodal Fusion for Optical and Scene Flow,"Youjie Zhou, Guofeng Mei, Yiming Wang, Fabio Poiesi, Yi Wan","Shandong university,University of Technology Sydney,Fondazione Bruno Kessler,Shandong University",Sensor Fusion II,"This paper presents an investigation into the estimation of optical and scene flow using RGBD information in scenarios where the RGB modality is affected by noise or captured in dark environments. Existing methods typically rely solely on RGB images or fuse the modalities at later stages, which can result in lower accuracy when the RGB information is unreliable. To address this issue, we propose a novel deep neural network approach called FusionRAFT, which enables early-stage information exchange between sensor modalities (RGB and depth). Our approach incorporates self- and cross-attention layers at different network levels to fuse these modalities and construct informative features that leverage the strengths of both modalities. Through comparative experiments, we demonstrate that our approach surpasses recent methods in terms of performance on the synthetic dataset Flythings3D, as well as generalization on the real-world dataset KITTI. We illustrate that our approach exhibits enhanced robustness in the presence of noise and low-lighting conditions affecting the RGB images."
LiDAR-Camera Calibration Using Intensity Variance Cost,"Ryoichi Ishikawa, Shuyi Zhou, Yoshihiro Sato, Takeshi Oishi, Katsushi Ikeuchi","The University of Tokyo,Kyoto University of Advanced Science,Microsoft",Sensor Fusion II,"We propose an extrinsic calibration method for LiDAR-camera fusion systems using variations in intensities projected from camera images to the LiDAR point cloud. As the input, the proposed method uses a sequence of LiDAR data and camera images captured while moving the system. Once the camera motion is calculated, camera images are projected onto the point cloud. The variations in the projected intensities at each point are large in the presence of errors in the estimated motion or calibration parameters. Consequently, the extrinsic parameters are optimized for cost minimization based on the intensity variance. In addition, a suitable geometry is proposed for the calibration and verified using simulations. Our experimental results showed that the proposed method accurately performed calibrations using a camera and a sparse multi-beam LiDAR or one-dimensional LiDAR."
